titre,annee,description,note_imdb,votes_imdb,note_jwrating,runtime,type,genres,producteur,plateformes
Génération V,2023,"De The Boys est née Génération V, nouvelle série sur la seule université américaine pour super-héros. Ces étudiants doués mettent à l'épreuve leur morale, s'affrontant pour une place au sommet du classement et une chance de rejoindre les Sept, l'équipe de super-héros d'élite de Vought. Quand les secrets de l'école sont révélés, ils doivent choisir à quelle sorte de super-héros ils veulent appartenir.",7.6,134184.0,0.936438456273,49,SHOW,"Action & Aventure, Drame, Science-Fiction, Comédie",Philip Sgriccia,"Amazon Prime Video, Amazon Prime Video with Ads"
Alien : Earth,2025,"Lorsqu'un mystérieux vaisseau spatial s'écrase sur la Terre, une jeune femme et un groupe hétéroclite de soldats tactiques font une découverte fatidique qui les amène à affronter la plus grande menace que la planète ait connue. Alors que les membres de l'équipe dépêchée pour récupérer l'épave recherchent des survivants, ils rencontrent des formes de vie prédatrices absolument terrifiantes. Face à cette nouvelle menace, l'équipe doit se battre pour survivre et faire des choix qui pourraient changer la Terre à jamais.",7.2,77013.0,0.877659514195,55,SHOW,"Science-Fiction, Drame, Horreur, Mystère & Thriller",Noah Hawley,Disney Plus
Mercredi,2022,"Brillante, sarcastique et un peu morte à l'intérieur, Mercredi Addams enquête sur une série de sombres mystères tout en se faisant des amis à l'Académie Nevermore.",8.0,468878.0,0.944034750414,53,SHOW,"Comédie, Science-Fiction, Crime & Thriller, Fantastique",James Marshall,"Netflix, Netflix Standard with Ads"
Monstre : L'Histoire d'Ed Gein,2025,"Dans les champs gelés du Wisconsin rural des années 1950, un reclus amical et doux nommé Eddie Gein vivait tranquillement dans une ferme en ruine - cachant une maison d'horreurs si épouvantables qu'elles allaient redéfinir le cauchemar américain. Poussé par l'isolement, la psychose et une obsession dévorante pour sa mère, les crimes pervers de Gein ont donné naissance à un nouveau type de monstre qui allait hanter Hollywood pendant des décennies.",,,0.795450724154,55,SHOW,"Crime & Thriller, Drame",Max Winkler,"Netflix, Netflix Standard with Ads"
Alice in Borderland,2020,"Un gamer paumé et ses deux amis se retrouvent dans un Tokyo parallèle, où ils sont contraints de participer à une série de jeux sadiques pour survivre.",7.8,135050.0,0.919837197589,58,SHOW,"Science-Fiction, Mystère & Thriller, Action & Aventure, Drame, Horreur",Shinsuke Sato,"Netflix, Netflix Standard with Ads"
L'abri de fortune,2025,"Alors que le monde s’effondre, un groupe de milliardaires se retranche dans un bunker de luxe, où anciens conflits et nouveaux secrets n’ont nulle part où se cacher.",5.6,6124.0,0.644779386464,55,SHOW,"Science-Fiction, Drame, Comédie Romantique, Mystère & Thriller, Crime & Thriller",N/A,"Netflix, Netflix Standard with Ads"
Peacemaker,2022,Spin-off au film The Suicide Squad consacré à l'anti-héros incarné par John Cena !,8.3,139982.0,0.935753198088,42,SHOW,"Action & Aventure, Science-Fiction, Drame, Comédie, Crime & Thriller, Fantastique",Jody Hill,"HBO Max  Amazon Channel, VIVA by videofutur, HBO Max, Premiere Max"
Dexter : Résurrection,2025,"Après avoir survécu à ses blessures, Dexter se retrouve à New York. Il tente de renouer une relation avec son fils mais des meurtres rituels ensanglantent Big Apple.",9.1,99520.0,0.927226133875,52,SHOW,"Crime & Thriller, Drame, Mystère & Thriller",Marcos Siega,"Canal+ Séries, Canal+"
Only Murders in the Building,2021,"Only Murders In The Building suit trois inconnus qui partagent une passion pour les faits divers et qui se retrouvent soudain mêlés à l'une de ces aventures, alors qu'ils enquêtent sur la mort mystérieuse d'un voisin dans leur immeuble de New York.",8.1,194657.0,0.930734687025,35,SHOW,"Mystère & Thriller, Comédie, Crime & Thriller, Drame",Chris Koch,Disney Plus
Les déshonorés,2022,"Cette fiction d'espionnage ingénieuse suit une équipe dysfonctionnelle d'agents du MI5 - et leur odieux patron, le célèbre Jackson Lamb - qui naviguent dans le monde trouble de l'espionnage pour défendre l'Angleterre contre des forces malfaisantes.",8.3,125861.0,0.946753887223,45,SHOW,"Comédie, Drame, Mystère & Thriller",James Hawes,Apple TV+
House of Guinness,2025,"Au XIXe siècle, l'histoire de la famille irlandaise à l'origine de la marque de bière emblématique, Guinness.",7.5,14342.0,0.847242448016,51,SHOW,"Drame, Histoire",N/A,"Netflix, Netflix Standard with Ads"
Empathie,2025,"Après un drame qui l'a bouleversé, Suzanne Bien-Aimé, une ancienne criminologue, intègre l'institut psychiatrique Mont-Royal en tant que psychiatre.",8.9,1217.0,0.811492745776,43,SHOW,Drame,Guillaume Lonergan,"Canal+ Séries, Canal+"
Task,2025,"Dans la périphérie industrielle de Philadelphie, un agent du FBI supervise une équipe spéciale dont la mission est d'éradiquer une succession de cambriolages orchestrés par un père de famille insoupçonnable.",7.9,14000.0,0.85209880071,61,SHOW,"Crime & Thriller, Drame",Jeremiah Zagar,"HBO Max  Amazon Channel, HBO Max"
